id,name,description,image,language,logic,customer_id,group,enabled,created,sort,description_won,versions,row,needs,is_personalized_learning
35,Fundamentos de ciberseguridad,¿Buscas una buena base de conocimientos? Completa la categoría „Fundamentos de ciberseguridad”.,basics.svg,sr,"{""categories"": [{""id"": 1}]}",,1,True,2020-07-09 13:02:50.457966+00,1,Has completado la categoría „Fundamentos de ciberseguridad”. ¡Excelente trabajo! ¡Continúa inmediatamente con la siguiente categoría!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [1], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
36,Seguridad del correo electrónico,¡Completa la categoría „Seguridad del correo electrónico” y conviértete en un experto en seguridad del correo electrónico!,emailsecure.svg,sr,"{""categories"": [{""id"": 2}]}",,2,True,2020-07-09 13:02:50.457966+00,2,Has completado la categoría „Seguridad del correo electrónico”. ¡Excelente trabajo! ¡Continúa inmediatamente con la siguiente categoría!,"{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [2], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
37,Seguridad de dispositivos móviles,¡Completa la categoría „Seguridad de dispositivos móviles” y conviértete en un experto en seguridad de dispositivos móviles!,mobilesafely.svg,sr,"{""categories"": [{""id"": 3}]}",,3,True,2020-07-09 13:02:50.457966+00,3,"Has completado la categoría ""Seguridad de dispositivos móviles"". ¡Excelente trabajo! ¡Continúa de inmediato con la siguiente categoría!","{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [3], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
38,Internet y herramientas en línea,"¡Completa la categoría ""Internet y herramientas en línea"" y conviértete en un experto en seguridad en línea!",internet.svg,sr,"{""categories"": [{""id"": 4}]}",,4,True,2020-07-09 13:02:50.457966+00,4,"Has completado la categoría ""Internet y herramientas en línea"". ¡Excelente trabajo! ¡Continúa de inmediato con la siguiente categoría!","{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [4], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
39,Seguridad en la oficina,"¡Completa la categoría ""Seguridad en la oficina"" y asegura la protección en el lugar de trabajo!",safeworkplace.svg,sr,"{""categories"": [{""id"": 5}]}",,5,True,2020-07-09 13:02:50.457966+00,5,"Has completado la categoría ""Seguridad en la oficina"". ¡Excelente trabajo! ¡Continúa de inmediato con la siguiente categoría!","{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [5], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
40,Software malicioso,"Completa la categoría ""Software malicioso"" y conviértete en un experto en ataques cibernéticos peligrosos.",malware.svg,sr,"{""categories"": [{""id"": 6}]}",,6,True,2020-07-09 13:02:50.457966+00,6,"Has completado la categoría ""Software malicioso"". ¡Excelente trabajo! Continúa de inmediato con la siguiente categoría.","{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [6], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
41,Protección de datos,"Completa la categoría ""Protección de datos"" y conviértete en un experto en el manejo de datos personales.",dataprotection.svg,sr,"{""categories"": [{""id"": 16}]}",,7,True,2020-07-09 13:02:50.457966+00,7,"Has completado la categoría ""Protección de datos"". ¡Excelente trabajo! Continúa de inmediato con la siguiente categoría.","{""ids"": [3, 4]}",2,"{""topics"": null, ""modules"": null, ""categories"": [16], ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
42,A todo vapor,"¿""A todo vapor"" con la ciberseguridad? Entonces inicia sesión cinco días seguidos.",fireandflame.svg,sr,"{""login_streak"": 5, ""or_completed_all_modules"": true}",,8,True,2020-07-09 13:02:50.457966+00,1,"Has iniciado sesión 5 días seguidos. Tu motivación es digna de elogio, ¡sigue así!","{""ids"": [3, 4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": null}",True
43,Choca esos cinco,Completa 5 módulos en un día y te habrás ganado „Choca esos cinco”!,highfive.svg,sr,"{""modules_per_day"": 5}",,9,True,2020-07-09 13:02:50.457966+00,2,Has completado 5 módulos en un día. ¡Genial! ¿Crees que puedes hacer aún más?,"{""ids"": [3, 4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": 5, ""min_category_count"": null}",True
44,En todos los frentes,¿Luchas „en todos los frentes” por la seguridad de tu empresa? Entonces completa al menos un módulo en cada categoría.,allfronts.svg,sr,"{""categories"": {""count"": 1}}",,10,True,2020-07-09 13:02:50.457966+00,3,Has completado al menos un módulo en cada categoría. ¡Excelente! Así amplías simultáneamente tus conocimientos en diferentes áreas.,"{""ids"": [3, 4]}",4,"{""topics"": null, ""modules"": null, ""categories"": null, ""min_topic_count"": null, ""min_module_count"": null, ""min_category_count"": 3}",True
